Year,School,gradTotal,Type,Ownership
106,世新大學,202,General,Private
106,中信金融管理學院,14,General,Private
106,中原大學,610,General,Private
106,中國文化大學,298,General,Private
106,中國科技大學,47,Tech,Private
106,中國醫藥大學,229,General,Private
106,中山醫學大學,152,General,Private
106,中州科技大學,22,Tech,Private
106,中臺科技大學,56,Tech,Private
106,中華大學,299,General,Private
106,中華科技大學,98,Tech,Private
106,中華醫事科技大學,33,Tech,Private
106,亞東科技大學,10,Tech,Private
106,亞洲大學,185,General,Private
106,佛光大學,137,General,Private
106,修平科技大學,21,Tech,Private
106,健行科技大學,134,Tech,Private
106,僑光科技大學,20,Tech,Private
106,元培醫事科技大學,63,Tech,Private
106,元智大學,421,General,Private
106,南亞技術學院,17,Tech,Private
106,南榮科技大學,11,Tech,Private
106,南臺科技大學,292,Tech,Private
106,南華大學,205,General,Private
106,南開科技大學,36,Tech,Private
106,台北海洋科技大學,14,Tech,Private
106,台南應用科技大學,39,Tech,Private
106,台灣首府大學,23,General,Private
106,吳鳳科技大學,18,Tech,Private
106,和春技術學院,6,Tech,Private
106,嘉南藥理大學,115,Tech,Private
106,國立中央大學,1297,General,Public
106,國立中山大學,1006,General,Public
106,國立中正大學,939,General,Public
106,國立中興大學,1257,General,Public
106,國立交通大學,1855,General,Public
106,國立勤益科技大學,235,Tech,Public
106,國立嘉義大學,398,General,Public
106,國立宜蘭大學,165,General,Public
106,國立屏東大學,243,General,Public
106,國立屏東科技大學,427,Tech,Public
106,國立彰化師範大學,474,General,Public
106,國立成功大學,2568,General,Public
106,國立政治大學,1179,General,Public
106,國立暨南國際大學,272,General,Public
106,國立東華大學,424,General,Public
106,國立清華大學,1734,General,Public
106,國立澎湖科技大學,27,Tech,Public
106,國立聯合大學,139,General,Public
106,國立臺中教育大學,198,General,Public
106,國立臺中科技大學,126,Tech,Public
106,國立臺北商業大學,66,Tech,Public
106,國立臺北大學,463,General,Public
106,國立臺北教育大學,226,General,Public
106,國立臺北科技大學,1106,Tech,Public
106,國立臺北藝術大學,189,General,Public
106,國立臺北護理健康大學,153,Tech,Public
106,國立臺南大學,241,General,Public
106,國立臺南藝術大學,112,General,Public
106,國立臺東大學,75,General,Public
106,國立臺灣大學,3433,General,Public
106,國立臺灣師範大學,1034,General,Public
106,國立臺灣海洋大學,544,General,Public
106,國立臺灣科技大學,1402,Tech,Public
106,國立臺灣藝術大學,207,General,Public
106,國立臺灣體育運動大學,48,General,Public
106,國立虎尾科技大學,389,Tech,Public
106,國立金門大學,56,General,Public
106,國立陽明大學,421,General,Public
106,國立雲林科技大學,703,Tech,Public
106,國立體育大學,106,General,Public
106,國立高雄大學,207,General,Public
106,國立高雄師範大學,301,General,Public
106,國立高雄科技大學,1012,Tech,Public
106,國立高雄餐旅大學,43,Tech,Public
106,大仁科技大學,24,Tech,Private
106,大同大學,148,General,Private
106,大漢技術學院,28,Tech,Private
106,敏實科技大學,6,Tech,Private
106,大葉大學,262,General,Private
106,實踐大學,108,General,Private
106,崇右影藝科技大學,26,Tech,Private
106,崑山科技大學,175,Tech,Private
106,嶺東科技大學,91,Tech,Private
106,康寧大學,79,General,Private
106,建國科技大學,74,Tech,Private
106,弘光科技大學,56,Tech,Private
106,德明財經科技大學,14,Tech,Private
106,慈濟大學,97,General,Private
106,慈濟科技大學,7,Tech,Private
106,文藻外語大學,29,Tech,Private
106,明志科技大學,151,Tech,Private
106,明新科技大學,110,Tech,Private
106,明道大學,63,General,Private
106,景文科技大學,27,Tech,Private
106,朝陽科技大學,247,Tech,Private
106,東南科技大學,55,Tech,Private
106,東吳大學,317,General,Private
106,東方設計大學,34,Tech,Private
106,東海大學,409,General,Private
106,樹德科技大學,106,Tech,Private
106,正修科技大學,151,Tech,Private
106,法鼓文理學院,21,General,Private
106,淡江大學,640,General,Private
106,玄奘大學,94,General,Private
106,環球科技大學,58,Tech,Private
106,真理大學,53,General,Private
106,稻江科技暨管理學院,25,General,Private
106,德育護理健康學院,4,Tech,Private
106,美和科技大學,49,Tech,Private
106,義守大學,160,General,Private
106,聖約翰科技大學,34,Tech,Private
106,育達科技大學,48,Tech,Private
106,致理科技大學,14,Tech,Private
106,臺北城市科技大學,36,Tech,Private
106,臺北醫學大學,227,General,Private
106,臺灣觀光學院,2,Tech,Private
106,華夏科技大學,8,Tech,Private
106,華梵大學,58,General,Private
106,萬能科技大學,34,Tech,Private
106,輔仁大學,586,General,Private
106,輔英科技大學,38,Tech,Private
106,逢甲大學,647,General,Private
106,遠東科技大學,68,Tech,Private
106,醒吾科技大學,18,Tech,Private
106,銘傳大學,248,General,Private
106,長庚大學,398,General,Private
106,長庚科技大學,24,Tech,Private
106,長榮大學,132,General,Private
106,開南大學,38,General,Private
106,靜宜大學,190,General,Private
106,馬偕醫學院,6,General,Private
106,台鋼科技大學,45,Tech,Private
106,高雄醫學大學,211,General,Private
106,龍華科技大學,79,Tech,Private
107,世新大學,210,General,Private
107,中信金融管理學院,18,General,Private
107,中原大學,622,General,Private
107,中國文化大學,299,General,Private
107,中國科技大學,51,Tech,Private
107,中國醫藥大學,210,General,Private
107,中山醫學大學,179,General,Private
107,中州科技大學,11,Tech,Private
107,中臺科技大學,39,Tech,Private
107,中華大學,295,General,Private
107,中華科技大學,88,Tech,Private
107,中華醫事科技大學,34,Tech,Private
107,亞東科技大學,14,Tech,Private
107,亞洲大學,199,General,Private
107,佛光大學,163,General,Private
107,修平科技大學,18,Tech,Private
107,健行科技大學,149,Tech,Private
107,僑光科技大學,16,Tech,Private
107,元培醫事科技大學,72,Tech,Private
107,元智大學,338,General,Private
107,南亞技術學院,10,Tech,Private
107,南臺科技大學,258,Tech,Private
107,南華大學,224,General,Private
107,南開科技大學,37,Tech,Private
107,台北海洋科技大學,38,Tech,Private
107,台南應用科技大學,32,Tech,Private
107,台灣首府大學,28,General,Private
107,吳鳳科技大學,24,Tech,Private
107,和春技術學院,10,Tech,Private
107,嘉南藥理大學,85,Tech,Private
107,國立中央大學,1365,General,Public
107,國立中山大學,986,General,Public
107,國立中正大學,955,General,Public
107,國立中興大學,1314,General,Public
107,國立交通大學,1901,General,Public
107,國立勤益科技大學,231,Tech,Public
107,國立嘉義大學,385,General,Public
107,國立宜蘭大學,162,General,Public
107,國立屏東大學,238,General,Public
107,國立屏東科技大學,390,Tech,Public
107,國立彰化師範大學,414,General,Public
107,國立成功大學,2604,General,Public
107,國立政治大學,1184,General,Public
107,國立暨南國際大學,223,General,Public
107,國立東華大學,407,General,Public
107,國立清華大學,1615,General,Public
107,國立澎湖科技大學,36,Tech,Public
107,國立聯合大學,148,General,Public
107,國立臺中教育大學,208,General,Public
107,國立臺中科技大學,125,Tech,Public
107,國立臺北商業大學,70,Tech,Public
107,國立臺北大學,412,General,Public
107,國立臺北教育大學,281,General,Public
107,國立臺北科技大學,1189,Tech,Public
107,國立臺北藝術大學,200,General,Public
107,國立臺北護理健康大學,140,Tech,Public
107,國立臺南大學,231,General,Public
107,國立臺南藝術大學,91,General,Public
107,國立臺東大學,68,General,Public
107,國立臺灣大學,3533,General,Public
107,國立臺灣師範大學,1068,General,Public
107,國立臺灣海洋大學,525,General,Public
107,國立臺灣科技大學,1389,Tech,Public
107,國立臺灣藝術大學,176,General,Public
107,國立臺灣體育運動大學,57,General,Public
107,國立虎尾科技大學,363,Tech,Public
107,國立金門大學,59,General,Public
107,國立陽明大學,447,General,Public
107,國立雲林科技大學,731,Tech,Public
107,國立體育大學,95,General,Public
107,國立高雄大學,191,General,Public
107,國立高雄師範大學,317,General,Public
107,國立高雄科技大學,945,Tech,Public
107,國立高雄餐旅大學,43,Tech,Public
107,大仁科技大學,27,Tech,Private
107,大同大學,153,General,Private
107,大漢技術學院,22,Tech,Private
107,敏實科技大學,5,Tech,Private
107,大葉大學,297,General,Private
107,實踐大學,77,General,Private
107,崇右影藝科技大學,30,Tech,Private
107,崑山科技大學,173,Tech,Private
107,嶺東科技大學,76,Tech,Private
107,康寧大學,55,General,Private
107,建國科技大學,70,Tech,Private
107,弘光科技大學,76,Tech,Private
107,德明財經科技大學,13,Tech,Private
107,慈濟大學,95,General,Private
107,慈濟科技大學,13,Tech,Private
107,文藻外語大學,29,Tech,Private
107,明志科技大學,154,Tech,Private
107,明新科技大學,106,Tech,Private
107,明道大學,51,General,Private
107,景文科技大學,20,Tech,Private
107,朝陽科技大學,201,Tech,Private
107,東南科技大學,56,Tech,Private
107,東吳大學,325,General,Private
107,東方設計大學,39,Tech,Private
107,東海大學,363,General,Private
107,樹德科技大學,79,Tech,Private
107,正修科技大學,126,Tech,Private
107,法鼓文理學院,21,General,Private
107,淡江大學,637,General,Private
107,玄奘大學,54,General,Private
107,環球科技大學,41,Tech,Private
107,真理大學,46,General,Private
107,稻江科技暨管理學院,19,General,Private
107,德育護理健康學院,8,Tech,Private
107,美和科技大學,45,Tech,Private
107,義守大學,160,General,Private
107,聖約翰科技大學,38,Tech,Private
107,育達科技大學,50,Tech,Private
107,致理科技大學,12,Tech,Private
107,臺北城市科技大學,27,Tech,Private
107,臺北醫學大學,231,General,Private
107,臺灣觀光學院,4,Tech,Private
107,華夏科技大學,8,Tech,Private
107,華梵大學,50,General,Private
107,萬能科技大學,34,Tech,Private
107,輔仁大學,611,General,Private
107,輔英科技大學,49,Tech,Private
107,逢甲大學,655,General,Private
107,遠東科技大學,82,Tech,Private
107,醒吾科技大學,22,Tech,Private
107,銘傳大學,267,General,Private
107,長庚大學,412,General,Private
107,長庚科技大學,21,Tech,Private
107,長榮大學,117,General,Private
107,開南大學,70,General,Private
107,靜宜大學,184,General,Private
107,馬偕醫學院,12,General,Private
107,台鋼科技大學,49,Tech,Private
107,高雄醫學大學,246,General,Private
107,龍華科技大學,104,Tech,Private
108,世新大學,188,General,Private
108,中信金融管理學院,28,General,Private
108,中原大學,590,General,Private
108,中國文化大學,326,General,Private
108,中國科技大學,45,Tech,Private
108,中國醫藥大學,202,General,Private
108,中山醫學大學,173,General,Private
108,中州科技大學,8,Tech,Private
108,中臺科技大學,22,Tech,Private
108,中華大學,217,General,Private
108,中華科技大學,68,Tech,Private
108,中華醫事科技大學,26,Tech,Private
108,亞東科技大學,10,Tech,Private
108,亞洲大學,169,General,Private
108,佛光大學,124,General,Private
108,修平科技大學,22,Tech,Private
108,健行科技大學,125,Tech,Private
108,僑光科技大學,18,Tech,Private
108,元培醫事科技大學,60,Tech,Private
108,元智大學,286,General,Private
108,南亞技術學院,9,Tech,Private
108,南臺科技大學,230,Tech,Private
108,南華大學,219,General,Private
108,南開科技大學,36,Tech,Private
108,台北海洋科技大學,38,Tech,Private
108,台南應用科技大學,21,Tech,Private
108,台灣首府大學,17,General,Private
108,吳鳳科技大學,23,Tech,Private
108,和春技術學院,3,Tech,Private
108,嘉南藥理大學,92,Tech,Private
108,國立中央大學,1368,General,Public
108,國立中山大學,1014,General,Public
108,國立中正大學,918,General,Public
108,國立中興大學,1277,General,Public
108,國立交通大學,1912,General,Public
108,國立勤益科技大學,249,Tech,Public
108,國立嘉義大學,411,General,Public
108,國立宜蘭大學,164,General,Public
108,國立屏東大學,270,General,Public
108,國立屏東科技大學,382,Tech,Public
108,國立彰化師範大學,453,General,Public
108,國立成功大學,2662,General,Public
108,國立政治大學,1234,General,Public
108,國立暨南國際大學,248,General,Public
108,國立東華大學,370,General,Public
108,國立清華大學,1717,General,Public
108,國立澎湖科技大學,24,Tech,Public
108,國立聯合大學,159,General,Public
108,國立臺中教育大學,200,General,Public
108,國立臺中科技大學,128,Tech,Public
108,國立臺北商業大學,117,Tech,Public
108,國立臺北大學,418,General,Public
108,國立臺北教育大學,251,General,Public
108,國立臺北科技大學,1198,Tech,Public
108,國立臺北藝術大學,201,General,Public
108,國立臺北護理健康大學,136,Tech,Public
108,國立臺南大學,203,General,Public
108,國立臺南藝術大學,123,General,Public
108,國立臺東大學,81,General,Public
108,國立臺灣大學,3500,General,Public
108,國立臺灣師範大學,1135,General,Public
108,國立臺灣海洋大學,568,General,Public
108,國立臺灣科技大學,1525,Tech,Public
108,國立臺灣藝術大學,157,General,Public
108,國立臺灣體育運動大學,44,General,Public
108,國立虎尾科技大學,374,Tech,Public
108,國立金門大學,54,General,Public
108,國立陽明大學,470,General,Public
108,國立雲林科技大學,705,Tech,Public
108,國立體育大學,106,General,Public
108,國立高雄大學,194,General,Public
108,國立高雄師範大學,306,General,Public
108,國立高雄科技大學,1005,Tech,Public
108,國立高雄餐旅大學,59,Tech,Public
108,大仁科技大學,25,Tech,Private
108,大同大學,124,General,Private
108,大漢技術學院,21,Tech,Private
108,大葉大學,295,General,Private
108,實踐大學,105,General,Private
108,崇右影藝科技大學,32,Tech,Private
108,崑山科技大學,110,Tech,Private
108,嶺東科技大學,63,Tech,Private
108,康寧大學,15,General,Private
108,建國科技大學,58,Tech,Private
108,弘光科技大學,53,Tech,Private
108,德明財經科技大學,10,Tech,Private
108,慈濟大學,100,General,Private
108,慈濟科技大學,10,Tech,Private
108,文藻外語大學,24,Tech,Private
108,明志科技大學,170,Tech,Private
108,明新科技大學,75,Tech,Private
108,明道大學,37,General,Private
108,景文科技大學,14,Tech,Private
108,朝陽科技大學,230,Tech,Private
108,東南科技大學,51,Tech,Private
108,東吳大學,316,General,Private
108,東方設計大學,44,Tech,Private
108,東海大學,360,General,Private
108,樹德科技大學,57,Tech,Private
108,正修科技大學,116,Tech,Private
108,法鼓文理學院,38,General,Private
108,淡江大學,632,General,Private
108,玄奘大學,46,General,Private
108,環球科技大學,28,Tech,Private
108,真理大學,30,General,Private
108,稻江科技暨管理學院,25,General,Private
108,德育護理健康學院,11,Tech,Private
108,美和科技大學,30,Tech,Private
108,義守大學,128,General,Private
108,聖約翰科技大學,31,Tech,Private
108,育達科技大學,34,Tech,Private
108,致理科技大學,18,Tech,Private
108,臺北城市科技大學,21,Tech,Private
108,臺北醫學大學,251,General,Private
108,臺灣觀光學院,2,Tech,Private
108,華夏科技大學,7,Tech,Private
108,華梵大學,42,General,Private
108,萬能科技大學,27,Tech,Private
108,輔仁大學,578,General,Private
108,輔英科技大學,36,Tech,Private
108,逢甲大學,639,General,Private
108,遠東科技大學,95,Tech,Private
108,醒吾科技大學,19,Tech,Private
108,銘傳大學,252,General,Private
108,長庚大學,349,General,Private
